,image_name,extracted_text,actual text,Label,Target
0,X348_208.jpg," 
","What's the lowest you can do, we need it to bury our son's dog in",Not Hateful,Targeted Individual
1,X348_333.jpg," 
",This was extremely disrespectful to Christians,Hateful,Targeted Community
2,X348_369.jpg,,"Almost everyone can get a sense that someone is into them, 
but most second guess themselves until they 
convince themselves it's nothing. 
Trust that sense. It's based on all of these 
factors that we pick up consciously 
and subconsciously and, usually, not a coincidence",Not Hateful,No Target Group ( General Concept )
3,X348_56.jpg," 
",hypnotized at a sleepover and wouldn't wake up,Hateful,Targeted Individual
4,X348_20.jpg,"Piweround]
OGG?
TG
GERD
milk hidden)
lingthetcioset)

 
",We found 30 moldy cups of chocolate milk hidden in the closet.,Hateful,Targeted Individual
5,X348_58.jpg," 
","This had limited uses, so you'd need it for 30 minutes or so and then walk away.
",Not Hateful,Targeted Individual
6,X348_6.jpg," 
","""57% off!""
""30% off!""
""35% off!""",Not Hateful,Targeted Organization
7,X348_109.jpg,"ae
","Active Glow™ Blueberry Cool Rose: 
Active Glow™ Raspberry Peachy Pink:
Active Smooth The CC Polish: 
Active Glow™ The Highlighter: 
Active Bright The Brightener:",Not Hateful,Targeted Organization
8,X348_521.jpg," 
",WON'T LAST,Hateful,Targeted Organization
9,X348_436.jpg," 
","me trying to get a sports bra off
In Paris, the first supporters are already in place.",Not Hateful,Targeted Community
10,X348_516.jpg," 
","Munchen,Germany",Hateful,Targeted Society
11,X348_474.jpg,,"I was told I didn't need a note anymore. Too late. I contacted the Department of Labor.
",Hateful,Targeted Organization
12,X348_501.jpg," 

Pree nd
pee Neca)

 
","He is raising his glasses in triumph
HAVE DONE IT!
>> LET THEM KNOW, STEPHEN.",Hateful,Targeted Individual
13,X348_646.jpg," 
","We had sex everywhere: Boiler room, empty patient rooms, elevator, staircase, and even the hospital rooftop",Not Hateful,Targeted Organization
14,X348_682.jpg,"TREE er)
Preis
never held?

 
","Low IQ

What can be
broken but
never held?",Hateful,Targeted Individual 
15,X348_270.jpg,,"Something about  ""RANCID VIBES.""
her doesn't sit   
right with me.""",Hateful,Targeted Individual 
16,X348_185.jpg," 

orc

Crna

Pet
con
","Every now and
again, I need one
still, and they are
gone!",Not Hateful,Targeted Organization
17,X348_153.jpg," 
","What is the biggest mistake
you've ever made?",Not Hateful,Targeted Individual 
18,X348_717.jpg," 

 
","""I don't want my
husband dancing
with his kids at the
wedding""

Group member

I need to know if I am overreacting and being national My fiancé has two kids from-a previous manage, and plans to do a daddy kid dance during our reception in my opinion tink's kind stupid and not necessary.
guess I'm not understanding why he needs to dance with them, when it's our dayli that sounds selfish really think the only childparent dances should be my father and and he with his mom moveracting and should just let it happen??",Hateful,Targeted Individual 
19,X348_327.jpg," 
","Drive Up Orders

5 on the way                   0 waiting        126

INHOLD                     QUEST          REA

never, ever
do THIS",Hateful,Targeted Organization
20,X348_253.jpg,"ns
ON n aug os

tohhire women for exactly the
reason we all think.

 
",Did you know that morgues prefer to hire women for exactly the reason we all think.,Hateful,Targeted Organization
21,X348_626.jpg," 
","Ant infestation in break room

Got locked inside bathroom",Not Hateful,Targeted Organization
22,X348_425.jpg," 
","I'd returned to the office after my honeymoon and was pushing a cart of marketing materials. A male senior manager asked if I was practicing pushing a baby buggy now I was married.

Every time I'd ask for clarification on a statement he made, he'd loudly tell me, in front of others, 'not to get worked up and to stop being over emotional. He's 60 and does this to all women.

",Hateful,argeted Individual
23,X348_5.jpg," 
","""TEAM US""

""POV Olympic gear arrived""",Not Hateful,Targeted Community
24,X348_503.jpg," 
","""chosen family""

""It can be isolating as a non-white creative, and that's why I lean on my friends. We support each other. We get each other.""",Not Hateful,Targeted Community
25,X348_8.jpg," 
","""My daughter was in a medically induced coma for two days from a drowning accident. She made a full recovery, but the things she told us freaked me out.""   

""I have very vague memories while in the coma of hearing my dad read a book, my mom telling me that she knew I would pull through, and of a tube in my nose.""",Not Hateful,Targeted Individual
26,X348_641.jpg," 
","""I found this in the walls of my house...""
""Why is there a man crawling in the street?""",Hateful, Targeted Organization
27,X348_622.jpg," 
","On her deathbed, she revealed she'd slept with her daughter's husband for half of their marriage",,Targeted Individual
28,X348_440.jpg," 
",It's so vain,Hateful,Targeted Individual
29,X348_260.jpg," 
",fancy a pie mate?,Hateful,Targeted Individual
30,X348_534.jpg," 
",The doctor said she was 6 months pregnant. She'd been drugging us so she could sneak out.,Hateful,Targeted Individual
31,X348_237.jpg," 
",I was gonna have Steve Carell as Danny,Hateful,Targeted Individual
32,X348_283.jpg,,"He dumped me because he believed I'd slept with two more people than him. I hadn't told him my real number, but it was actually higher than two. He asked me back out six months later because he'd slept with three people, making his number 'higher' than mine. He failed to realize that I wasn't celibate for those six months",Hateful,Targeted Individual
33,X348_486.jpg," 
",I really don't wanna work anymore!,Hateful,Targeted Individual
34,X348_513.jpg,"  
",Starbucks gift cards from 1998,Hateful,Targeted Organization
35,X348_564.jpg," 
",I can't live like this even if it's for him,Note Hateful,Targeted Individual
36,X348_67.jpg," 
",Still a Scientologist. Might have taken classes,Hateful,Targeted Community
37,X348_118.jpg," 
",When you just fall out of a coconut tree,Hateful,Targeted Individual
38,X348_361.jpg," 
","Risk that succeeded. Risk that
misfired.",Hateful,Targeted Individual
39,X348_82.jpg,"Kissin a,

 

Resofersere
","hey did you ever wind up
going grocery shopping

yes? w",Not Hateful,Targeted Individual
40,X348_723.jpg," 
",My wife and my seven sisters have very clearly informed me this is not their normal.,Hateful,Targeted Individual
41,X348_443.jpg," 
",I got rid of my books and I'm removing my Deathly Hallows tattoo. I can't support someone with such warped views about trans people,Hateful,Targeted Individual
42,X348_295.jpg,"     
 

Ce
Easy
Resesoniine

 
","Most high school drama was about him.

She's an awesome person, and she's very down-to-earth and quiet.
",Hateful,Targeted Individual
43,X348_176.jpg," 
",before > after,Hateful,Targeted Individual
44,X348_668.jpg," 
","Took 40 sec. for a page to load
The CEO laid off 7% of employees to cut costs, then held a company-wide meeting where everyone was served tequila shots and Run-DMC performed 'It's Tricky'.",Not Hateful,Targeted Organization
45,X348_30.jpg,"  

Mon
ae

Eerie
","Get hired is a huge one no one talks about.

If you're weird you're just seen as 'quirky'.",Hateful,Targeted Individual
46,X348_97.jpg,"sk
","We met in person and everything was amazing. After a week, he asked me to move to Florida with him. When I declined, he decided not to go because ""he wanted to see where things would go with us."" That was red flag.",Hateful,Targeted Individual
47,X348_334.jpg," 
",We cut off our son after he got five women pregnant in two months.,Hateful,Targeted Individual
48,X348_328.jpg," 
","He stole my money
to pay for the ring. He proposed to me
with his grandmother's
ring. When I said no,
he threw the ring
into the river.",,Targeted Individual
49,X348_42.jpg," 
","Going to the bathroom or getting
water is a ""frivolous errand,""
apparently",Hateful,Targeted Individual
50,X348_197.jpg,,"Being born to older
parents meant this.
",Not Hateful,Targeted Individual
51,X348_704.jpg," 
",Forgot to CGI out her wedding ring.         Fake Baby.,Hateful,Targeted Individual
52,X348_630.jpg," 
",,Not Hateful,Targeted Individual
53,X348_178.jpg," 
","Every product that gets returned is thrown out.

Don't try on lipstick at makeup stores!",Not Hateful,Targeted Organization
54,X348_54.jpg," 
","my thoughts exactly

Waltimo confused what are we supposed to wear there",Hateful,Targeted Individual
55,X348_683.jpg," 

Cana
POs ee nd
","Gen Z: ""I'd never use
this unironically.""",Hateful,Targeted Community
56,X348_251.jpg," 
","I have gotten
over the shock
of being honked
at while running.

A customer said
if she didn't give
him her number,
he wouldn't tip.",Not Hateful,Targeted Individual
57,X348_665.jpg," 
","Life costs so
much money.

Take care of your
f*cking teeth.",Not Hateful,Targeted Individual
58,X348_130.jpg," 
",A Girlfriend Is a Sister You Choose.,Hateful,Targeted Individual
59,X348_62.jpg," 
",Women don't have innate curiosity.,Hateful,Targeted Community
60,X348_589.jpg,,"Where did the zoomers come up with
this phrase? It's grammatically incorrect,
sounds moronic and makes no sense.",Not Hateful,Targeted Community
61,X348_500.jpg," 
",when you find out americans don't have electric kettles,Hateful,Targeted Society
62,X348_380.jpg," 
",Let me say this as clearly and simply as I can: I'm running.,Hateful,Targeted Society
63,X348_120.jpg,,Published Jul 2024,Hateful,Targeted Individual
64,X348_35.jpg,,I got baby Botox,Not Hateful,Targeted Organization
65,X348_629.jpg," 
",Walz,Hateful,Targeted Individual
66,X348_61.jpg," 
","Blake Lively was banned from Disneyland for a year.
Madonna was banned from a movie theater chain.",Hateful,Targeted Community
67,X348_190.jpg," 
","Over $40k more a year, With less experience and doing less work. His salary was $25k more than mine - AFTER my pay bump.",Not Hateful,Targeted Individual
68,X348_353.jpg," 
",My ex told me to my face he took the money his mom gifted him to buy me an engagement ring and bought a gun instead.,Hateful,Targeted Individual
69,X348_59.jpg," 
","He didn't smile or look at me once during the ceremony.
The only emotion I felt on our wedding day was dread.",Not Hateful,Targeted Individual
70,X348_595.jpg,"Bs]
etd

 
",He invited his ex over because I was too busy planning my sister's funeral.,Not Hateful,Targeted Community
71,X348_379.jpg," 
","One of my very dear friends from high school lost he 10 year old daughter in a hit and run accident over the weekend. My heart is breaking for her and her family right now
For a chance to win a pair of mystery leggings cheer me up by commenting below with something that made you happy today.",Hateful,Targeted Community
72,X348_73.jpg," 
",and I'm proud to be an American,Not Hateful,Targeted Society
73,X348_313.jpg," 
","""I'm stuffed lmao""
""completely demolished these wings""",Hateful,Targeted Society
74,X348_601.jpg,,Drake's feet,Not Hateful,Targeted Individual
75,X348_375.jpg," 
",1st Place Snacking,Not Hateful,Targeted Organization
76,X348_396.jpg,,Team USA Olympic gear haul pt 3,Hateful,Targeted Individual
77,X348_41.jpg,"4

   

Serre
Beate
","It was everything I could do to focus on my patient and not cry.
I wanted to do a thorough check and he was fine until I got down to his feet.",Not Hateful,Targeted Community
78,X348_527.jpg," 
","After 22 years my ex-husband, as I knew him, just...vanished.",Not Hateful,Targeted Individual
79,X348_620.jpg," 
","I never, growing had anything
designer...I think got my first pair of
Louboutins when I graduated high school.
It makes me emotional, actually.",Hateful,Targeted Individual
80,X348_248.jpg," 
","She asked us to hand-make ALL her decorations for the wedding.
I put in 15 hours a week making them.
Then, she planned a weeklong bachelorette party out of town and asked us to foot the bill.",Not Hateful,Targeted Individual
81,X348_710.jpg," 
","Park Ranger
Chess Tutor",Not Hateful,Targeted Community
82,X348_230.jpg,,"Demi Lovato
Raven-Symoné",Not Hateful,Targeted Community
83,X348_408.jpg," 
","I think you always have to be nice to the people that you work with.
[James Corden] hasn't been very nice.",Not Hateful,Targeted Society
84,X348_247.jpg," 
",,Not Hateful,Targeted Society
85,X348_477.jpg," 
","I receive an annual salary of about $100K and annual raises and performance bonuses. My work is 100% remote, my hours are flexible so it accommodates me as a single mom.

I never stress about work and I'm able to live comfortably. It's well worth the four-year civil engineering degree. There's plenty of room for growth and I started at $42 an hour.",Not Hateful,Targeted Individual
86,X348_94.jpg,,"On the way home from seeing her step-mom die, he asked her to stop and buy a plunger.",Not Hateful,Targeted Individual
87,X348_627.jpg," 
",What year was Diet Coke released?,Not Hateful,Targeted Individual
